Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
168,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_036,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/036_Санжар_Нуркасымов_са.wav,138.280,141.470,Санжар Нуркасымов са̄ӈк­вылтапыл са̄ӈквылтас.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
169,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_037,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/037_Шапша_па_вылныл_Лиди.wav,141.510,147.390,Шапша па̄вылныл Лидия Алясова мощ хот э̄р­гыӈ-йӣквнэ колта̄глэ то­тыгластэ.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
170,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_038,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/038_Ня_врамыт_та_кем_о_с.wav,147.460,150.190,"Ня̄врамыт та­кем о̄с йӣквсыт, э̄ргысыт. ",143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
171,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_039,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/039_Тувыл_акв_ма_ньлат_н.wav,150.350,156.310,Тувыл акв ма̄ньлат нэ̄ Оксана Кузнецова йога алпи ню̄нсала̄лнэ накыт суссылтас.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
172,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_040,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/040_Пуссын_тав_юи_па_лэ_.wav,156.320,160.190,Пуссын тав юи-па̄лэ̄т мощ ню̄нсалахтым капыртасыт.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
173,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_041,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/041_Ты_коныпал_ха_йтнут_.wav,160.270,165.590,Ты коныпал ха̄йтнут э̄рыг ос веншэн ёхум нампа коллективыг э̄ргысы̄г.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
174,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_042,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/042_Хо_тал_такем_ма_лтып.wav,165.680,169.740,"Хо̄тал такем ма̄лтыпыг ос посыӈыг о̄лыс, ма̄­хум пил ва̄тсыт.",143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
175,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_043,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/043_То_ват_ка_тыл_хурит_.wav,169.760,172.830,То̄ват ка̄тыл хурит по̄слуӈкве а̄лы­масыт.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
176,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_044,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/044_Мо_таныт_пилы_тэ_нут.wav,172.880,175.710,"Мо̄таныт пилыӈ тэ̄нут, тэ̄рпит тыналасыт.",143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
177,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_045,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/045_Суссылтап_ва_рыгласы.wav,175.760,179.160,"Суссылтап ва̄рыгласыт, матыр ма̄щтырлаӈкве ханищтасыт.",143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
178,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_046,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/046_Та_м_йлын_ма_ныл_нэ_.wav,179.240,182.590,Та мӯйлын ма̄ныл нэ̄мхотьют тэ̄та̄л юв ат минас.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
179,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_047,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/047_Пуссын_х_л_исмитыл_а.wav,182.620,186.430,Пуссын хӯл исмитыл айтве̄сыт ос сō­ламытыл тыттуве̄сыт.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
180,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_048,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/048_Па_й_тым_аты_тэ_нуты.wav,186.490,191.080,Па̄й­тым атыӈ тэ̄нутыт ма̄гыс Софья Чучелина ос Алевтина Ефимова.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
181,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_049,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/049_Нэ_гн_п_мащипа_ла_ву.wav,191.120,193.260,Нэ̄гн пӯмащипа ла̄вуӈкве э̄ри.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
182,Сатина Мария,mns_143ecaaa-dd14-49fa-bb8c-09fc20531386_050,Сатина Мария/mns_143ecaaa-dd14-49fa-bb8c-09fc20531386/050_Ань_мо_т_таквсы_пора.wav,193.300,196.920,Ань мо̄т таквсы порат о̄с акв тамле ялпыӈ хо̄тал вос ва̄раве.,143ecaaa-dd14-49fa-bb8c-09fc20531386,ТМ
183,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_001,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/001_Лю_лья_па_выл_ма_хум.wav,0.000,2.740,Лю̄лья па̄выл ма̄хум о̄лупсаныл.,91031035-59b1-4d78-9035-bc14e6303c06,АА
184,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_002,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/002_Ам_намум_Максим_Хата.wav,3.180,8.910,"Ам намум Максим Хатанзеев, Саранпа̄выл школат ханищтахтэ̄гум.",91031035-59b1-4d78-9035-bc14e6303c06,АА
185,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_003,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/003_Ам_Лю_лья_па_выл_уры.wav,9.000,12.070,Ам Лю̄лья па̄выл урыл потыр хансэ̄гум.,91031035-59b1-4d78-9035-bc14e6303c06,АА
186,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_004,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/004_Ты_па_выл_Н_рыт_ляпа.wav,12.110,14.690,Ты па̄выл Нё̄рыт ляпат ӯнлыс.,91031035-59b1-4d78-9035-bc14e6303c06,АА
187,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_005,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/005_Я_сунт_па_вылныл_Ма_.wav,14.780,19.810,Я̄сунт па̄вылныл Ма̄нья хосыт ловмантем ве̄рыста алгаль минуӈкв э̄ри.,91031035-59b1-4d78-9035-bc14e6303c06,АА
188,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_006,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/006_Тот_Лю_лья_Ма_ньян_п.wav,19.960,22.630,Тот Лю̄лья Ма̄ньян паты.,91031035-59b1-4d78-9035-bc14e6303c06,АА
189,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_007,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/007_Лю_лья_ты_сака_ма_нь.wav,22.950,28.180,"Лю̄лья ты сака ма̄нь я̄, витэ щар сэ̄мыл, ща̄й хурипа.",91031035-59b1-4d78-9035-bc14e6303c06,АА
190,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_008,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/008_Ам_ляпа_ру_танум_яны.wav,28.310,32.030,"Ам ляпа рӯтанум, яныг о̄парищум тот о̄лыс.",91031035-59b1-4d78-9035-bc14e6303c06,АА
191,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_009,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/009_Тав_наме_Иван_Филипп.wav,32.560,35.560,Тав наме Иван Филиппович Тихонов о̄лыс.,91031035-59b1-4d78-9035-bc14e6303c06,АА
192,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_010,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/010_Па_выл_ма_хмытн_тав_.wav,35.910,39.630,Па̄выл ма̄хмытн тав тох ла̄ввес Ма̄нья Ванька.,91031035-59b1-4d78-9035-bc14e6303c06,АА
193,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_011,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/011_Ты_омам_тав_о_патэ_П.wav,40.100,44.890,"Ты омам тав о̄патэ. Пе̄с порат, яныг хо̄нт э̄лы-па̄лт.",91031035-59b1-4d78-9035-bc14e6303c06,АА
194,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_012,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/012_Н_р_ляпат_Ма_нья_па_.wav,45.300,50.190,"Нё̄р ляпат Ма̄нья па̄выл ӯнлыс, тот са̄в ще̄мьят о̄лсыт.",91031035-59b1-4d78-9035-bc14e6303c06,АА
195,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_013,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/013_Тувыл_та_па_выл_на_й.wav,50.430,55.020,"Тувыл та па̄выл на̄йн ё̄свес, ма̄­хум Я̄сунтын, Сӯ­кыръян.",91031035-59b1-4d78-9035-bc14e6303c06,АА
196,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_014,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/014_Ос_хоталь_а_ти_мо_т_.wav,55.100,58.170,Ос хоталь-а̄ти мо̄т па̄вылн ва̄нтлысыт.,91031035-59b1-4d78-9035-bc14e6303c06,АА
197,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_015,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/015_Яныг_о_пам_Ма_нья_Ва.wav,58.780,64.000,Яныг о̄пам Ма̄нья Ванька мощ ло̄ӈхальнув Лю̄лья ва̄тат о̄лмыгтас.,91031035-59b1-4d78-9035-bc14e6303c06,АА
198,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_016,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/016__Тот_нила_ще_мья_о_л.wav,64.170,70.410, Тот нила ще̄мья о̄лсыт. Я̄ тапал ва̄тат Катери-э̄ква сулколт о̄лыс.,91031035-59b1-4d78-9035-bc14e6303c06,АА
199,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_017,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/017_Алгальнув_Торапи_о_й.wav,70.710,75.170,Алгальнув Торапи-о̄йка Аннэ э̄ква­тэ̄нтыл о̄лсыг.,91031035-59b1-4d78-9035-bc14e6303c06,АА
200,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_018,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/018_Колэ_н_яныг_о_лыс_.wav,75.280,76.910,Колэ̄н яныг о̄лыс.,91031035-59b1-4d78-9035-bc14e6303c06,АА
201,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_019,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/019_Яныг_о_пам_ос_яныг_щ.wav,77.430,83.800,"Яныг о̄пам ос яныг щаще̄квам мощ ло̄ӈхальнув о̄лсыг, тэ̄н о̄с сулколт о̄лсы̄г.",91031035-59b1-4d78-9035-bc14e6303c06,АА
202,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_020,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/020_Тувыл_ма_нь_пыге_н_М.wav,83.980,87.610,Тувыл ма̄нь пыге̄н Микитан колыл ӯнттувесы̄г.,91031035-59b1-4d78-9035-bc14e6303c06,АА
203,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_021,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/021_Ма_нья_ва_тат_ос_Хат.wav,87.840,92.650,"Ма̄нья ва̄тат ос Хатане­выт о̄лсыт, Леля-Миска ще̄мьятэ. ",91031035-59b1-4d78-9035-bc14e6303c06,АА
204,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_022,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/022_То_нт_та_н_мас_ос_юр.wav,93.060,98.670,"То̄нт та̄н ёмас ос юр­тыӈыщ о̄лсыт, хӯл алыщ­ласыт, во̄раясыт.",91031035-59b1-4d78-9035-bc14e6303c06,АА
205,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_023,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/023_Мощ_тылнув_Леля_Миск.wav,99.270,105.680,Мощ ётылнув Леля-Миска ос ам яныг о̄пам колта̄г­лыл Я̄сунтын ва̄нт­ласы̄г.,91031035-59b1-4d78-9035-bc14e6303c06,АА
206,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_024,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/024_Ань_ам_омагум_а_тягу.wav,105.890,112.280,"Ань ам омагум-а̄тягум ёт тув то̄ванакт ялантэ̄в, пил тот ва̄тэ̄в, няслэ̄в.",91031035-59b1-4d78-9035-bc14e6303c06,АА
207,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_025,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/025_А_тяв_тот_во_раи_.wav,112.710,114.600,А̄тяв тот во̄раи.,91031035-59b1-4d78-9035-bc14e6303c06,АА
208,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_026,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/026_Омам_потырта_лы_тав_.wav,114.750,121.580,"Омам потырта̄лы, тав ма̄ниг о̄лме порат та̄н туи порат Лю̄льят о̄лсыт, пум ва̄р­сыт. ",91031035-59b1-4d78-9035-bc14e6303c06,АА
209,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_027,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/027_Тав_тит_йигрищаге_т_.wav,121.780,125.980,Тав тит йигрищаге ёт тот ёнгасым ха̄йтыгтас. ,91031035-59b1-4d78-9035-bc14e6303c06,АА
210,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_028,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/028_Тэ_лы_ос_та_н_Я_сунт.wav,126.190,128.480,Тэ̄лы ос та̄н Я̄сунтыт о̄лсыт.,91031035-59b1-4d78-9035-bc14e6303c06,АА
211,Сатина Мария,mns_91031035-59b1-4d78-9035-bc14e6303c06_029,Сатина Мария/mns_91031035-59b1-4d78-9035-bc14e6303c06/029_Ам_омам_ты_па_влыг_у.wav,128.690,137.970,"Ам омам ты па̄влыг урыл акваг потырта̄лы, ам Лю̄лья ос Я̄сунт па̄в­лыг сака э̄руптыягум, ты ма̄к ма̄н па̄влагув. ",91031035-59b1-4d78-9035-bc14e6303c06,АА
212,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_001,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/001_Во_рт_о_лнэ_сосса_хо.wav,0.880,3.990,Во̄рт о̄лнэ сосса хо̄тпат праваныл вос ва̄ганыл.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
213,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_002,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/002_Округувт_сосса_ма_ху.wav,4.960,11.480,Округувт сосса ма̄хум праваныл урыл потыртан ма̄гсыл Югорский университетыт конференция ва̄рыглавес. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
214,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_003,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/003_Тот_са_в_уч_ныит_са_.wav,11.920,17.940,"Тот са̄в учёныит, са̄всыр ма̄т рӯпитан хо̄тпат ос ханищтахтын а̄гит-пыгыт акван-атхатыгласыт. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
215,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_004,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/004_О_влэ_т_паща_ла_ты_л.wav,18.080,25.180,"О̄влэ̄т паща ла̄тыӈ ла̄вуӈкве Югорский государственный университетыт прорек­тор хум Валерий Лапшин во̄ввес, тав ла̄выс.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
216,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_005,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/005_Ты_ма_т_о_лнэ_сосса_.wav,25.330,30.770,Ты ма̄т о̄лнэ сосса ма̄хум праваныл ӯргалаӈкве ос та̄нанылн ты урыл потыртаӈкве э̄ри.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
217,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_006,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/006_Та_нти_ма_нылт_о_лнэ.wav,30.970,36.170,"Та̄нти ма̄нылт о̄лнэ колта̄глыт праваныл сака хунь ва̄ганыл, ты кастыл ат ханищтахтасыт. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
218,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_007,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/007_Ма_н_ань_таима_гсыл_.wav,36.440,41.390,"Ма̄н ань таима̄гсыл ты атхатсӯв, университетувт ханищтахтын ма̄ньлат а̄гит ос пыгыт.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
219,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_008,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/008_Научный_р_патаныл_ур.wav,41.550,47.000,Научный рӯпатаныл урыл вос по­тыртэ̄гыт ос акван-нё̄т­хатым са̄в ёмас тэ̄ла вос ва̄ре̄гыт. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
220,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_009,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/009_Яныг_уч_ныянув_са_в_.wav,47.290,51.950,"Яныг учёныянув са̄в номт о̄ньще̄гыт, хотты тэ̄лан я̄рмын э̄лумхо̄ласн.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
221,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_010,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/010_Та_н_э_рнэ_ла_ты_х_л.wav,52.210,56.300,"Та̄н э̄рнэ ла̄тыӈ хӯлтэ̄гыт ос хумус ва̄руӈкве, пот­ра­мияныл.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
222,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_011,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/011_Тувыл_Ма_вит_ос_э_лу.wav,56.460,63.470,"Тувыл Ма̄-вит ос э̄лум­хо̄лас музейт рӯпитан нэ̄, исторический наукат доктор нам о̄щнэ хо̄тпа Наталья Тучкова.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
223,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_012,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/012_Хантыт_ос_ма_ньщит_у.wav,63.500,65.670,Хантыт ос ма̄ньщит урыл потыр­тас.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
224,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_013,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/013_Тав_ты_э_лы_пал_Томс.wav,65.740,70.680,Тав ты э̄лы-пал Томский областит о̄лнэ сосса ма̄хум о̄лупсаныл ханищтастэ.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
225,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_014,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/014_Ань_тав_тыт_хантыт_п.wav,70.730,74.330,"Ань тав тыт хантыт палт яланты, та̄н о̄лупсаныл ханищты. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
226,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_015,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/015_Тувыл_ма_ньщит_т_ос_.wav,74.470,76.990,Тувыл ма̄ньщит ёт ос мощ потырта̄лыс. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
227,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_016,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/016_Тав_ань_потре_та_уры.wav,77.050,82.870,"Тав ань потре та урыл о̄лыс, ка̄сыӈ ма̄т о̄лнэ ма̄хум та̄нтина̄ныл та̄нти щирыл ла̄вияныл.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
228,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_017,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/017_Хантыт_Саня_х_Кунава.wav,83.170,87.200,"Хантыт - Саня ёх, Кунават ёх, Касум ёх, Тэк ёх.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
229,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_018,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/018_Ма_ньщит_Сакв_ма_хум.wav,87.440,94.350,"Ма̄ньщит – Сакв ма̄хум, Та̄гт ма̄хум, Полум ма̄хум, Лӯсум ма̄хум, Хо̄нтаӈ ма̄хум ос мо̄таныт.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
230,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_019,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/019_Маснутаныл_ос_ка_сы_.wav,94.430,99.010,Маснутаныл ос ка̄сыӈ ма̄т та̄нтинув щирыл ю̄нтыяныл ос хорамтыяныл. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
231,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_020,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/020_Пе_с_порат_нэ_супе_х.wav,99.060,102.020,Пе̄с порат нэ̄ супе хансат щирыл ханьщуӈкве ро̄выс.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
232,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_021,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/021_Ань_тай_мощ_акван_тэ.wav,102.100,106.200,"Ань тай мощ акван-тэ̄лыгла­сыт, халанылт акв щирыл ва̄руӈкве патсыт. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
233,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_022,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/022_Яныг_сапра_нияныл_ои.wav,106.220,113.410,Яныг сапра̄нияныл оиг­пам юи-па̄лт ма̄хум ат секцият щирыл ла̄кква-уртхатсыт ос я̄нас кол­накытын минасыт.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
234,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_023,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/023_О_выл_колнакт_правоо.wav,113.490,121.120,"О̄выл колнакт правоохрани­тельный ос правоза­щитный тэ̄лат урыл яныг кӯщаит, ня̄врам ханищ­тан хо̄тпат потыртасыт. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
235,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_024,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/024_Титыт_колнакт_уголов.wav,121.340,126.210,Титыт колнакт уголовно-правовое урегулиро­ва­ние урыл пот­раныл о̄лыс. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
236,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_025,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/025_Х_рмит_кол_накт_ма_н.wav,126.430,130.810,Хӯрмит кол­накт ма̄н ханты ос ма̄ньщи о̄лупсав потрыт ловиньтаве̄сыт.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
237,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_026,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/026_Тав_рущ_щирыл_тох_на.wav,130.920,136.840,"Тав рущ щирыл тох на­маим о̄лыс актуальные проблемы истории, этно­графии и искусства.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
238,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_027,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/027_Традиционной_культур.wav,136.880,140.170,Традиционной культуры коренных малочисленных народов.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
239,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_028,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/028_Ты_То_рум_Маа_музейт.wav,140.240,148.240,"Ты То̄рум Маа музейт, А̄с-угорский институтт, Центр ремесел колт ос мо̄т ма̄т рӯпитан хо̄тпанув докладаныл ловиньтасыт.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
240,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_029,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/029_Та_нти_ва_рнэ_р_пата.wav,148.300,152.700,Та̄нти ва̄рнэ рӯпатаныл урыл потыртасыт ос ань йист хумус маснутыт.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
241,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_030,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/030_Пормасыт_ю_нтавет_ма.wav,152.800,155.300,Пормасыт ю̄нтавет манос ва̄равет. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
